(48, 96, 121, 201, 238) {'totalGameNum': 1, 'win': 1}
(24, 40, 60, 81, 157) {'totalGameNum': 1, 'win': 0}
(24, 40, 43, 60, 81) {'totalGameNum': 1, 'win': 1}
(44, 82, 98, 202, 421) {'totalGameNum': 1, 'win': 0}
(36, 42, 117, 412, 421) {'totalGameNum': 1, 'win': 1}
(81, 104, 111, 114, 238) {'totalGameNum': 1, 'win': 0}
(76, 104, 112, 114, 412) {'totalGameNum': 1, 'win': 1}
(13, 40, 64, 105, 429) {'totalGameNum': 1, 'win': 0}
(27, 48, 64, 134, 202) {'totalGameNum': 1, 'win': 0}
(22, 98, 104, 112, 412) {'totalGameNum': 1, 'win': 1}
(22, 30, 43, 48, 421) {'totalGameNum': 1, 'win': 1}
(16, 25, 64, 81, 126) {'totalGameNum': 1, 'win': 0}
(76, 112, 150, 201, 236) {'totalGameNum': 1, 'win': 1}
(38, 42, 53, 203, 223) {'totalGameNum': 1, 'win': 0}
(13, 64, 163, 412, 429) {'totalGameNum': 1, 'win': 1}
(39, 40, 81, 203, 245) {'totalGameNum': 1, 'win': 0}
(7, 81, 98, 412, 421) {'totalGameNum': 1, 'win': 1}
(22, 48, 50, 80, 104) {'totalGameNum': 1, 'win': 0}
(51, 60, 78, 126, 161) {'totalGameNum': 1, 'win': 1}
(29, 58, 68, 90, 112) {'totalGameNum': 1, 'win': 0}
(51, 68, 112, 203, 427) {'totalGameNum': 1, 'win': 0}
(4, 85, 121, 222, 432) {'totalGameNum': 1, 'win': 1}
(7, 15, 79, 223, 245) {'totalGameNum': 1, 'win': 0}
(12, 38, 60, 150, 202) {'totalGameNum': 1, 'win': 1}
(13, 64, 111, 143, 202) {'totalGameNum': 1, 'win': 1}
(42, 43, 51, 245, 421) {'totalGameNum': 1, 'win': 0}
(68, 76, 81, 126, 432) {'totalGameNum': 1, 'win': 0}
(91, 117, 201, 203, 236) {'totalGameNum': 1, 'win': 1}
(64, 67, 90, 98, 412) {'totalGameNum': 1, 'win': 0}
(59, 92, 111, 117, 222) {'totalGameNum': 1, 'win': 1}
(43, 126, 202, 421, 432) {'totalGameNum': 1, 'win': 0}
(4, 26, 39, 60, 81) {'totalGameNum': 1, 'win': 1}
(64, 68, 126, 236, 432) {'totalGameNum': 1, 'win': 1}
(4, 20, 43, 81, 150) {'totalGameNum': 1, 'win': 0}
(42, 56, 64, 92, 412) {'totalGameNum': 1, 'win': 0}
(45, 55, 68, 81, 254) {'totalGameNum': 1, 'win': 1}
(10, 80, 89, 119, 134) {'totalGameNum': 1, 'win': 0}
(18, 24, 25, 59, 117) {'totalGameNum': 1, 'win': 1}
(15, 25, 60, 126, 245) {'totalGameNum': 1, 'win': 0}
(50, 53, 104, 157, 236) {'totalGameNum': 1, 'win': 1}
(7, 82, 104, 223, 236) {'totalGameNum': 1, 'win': 0}
(98, 136, 203, 412, 429) {'totalGameNum': 1, 'win': 1}
